artist_genres,track_uri,track_name,artist_name
colombian pop,spotify:track:2CeKVsFFXG4QzA415QygGb,Feliz Cumpleaños Ferxxo,Feid
colombian pop,spotify:track:5ww2BF9slyYgNOk37BlC4u,La Bachata,Manuel Turizo
colombian pop,spotify:track:0T2pB7P1VdXPhLdQZ488uH,Normal,Feid
colombian pop,spotify:track:3PpWCS95gDUDRPko3u1MZ9,Prohibidox,Feid
colombian pop,spotify:track:1sbNEFiURUYfy024cJX8JG,Ferxxo 100,Feid
colombian pop,spotify:track:6G12ZafqofSq7YtrMqUm76,Monotonía,Shakira
colombian pop,spotify:track:2vsoD8S1OyrWSVIA43hjaU,Si Te La Encuentras Por Ahí,Feid
colombian pop,spotify:track:18pWcEUcUJpBFs7eNBsBht,Castigo,Feid
colombian pop,spotify:track:30Xh83fw03PZ2Wfm36H4EZ,Lady Mi Amor,Feid
colombian pop,spotify:track:0S4w5ZBEbxYxiygvz9wWdK,Belixe,Feid
colombian pop,spotify:track:2rurDawMfoKP4uHyb2kJBt,Te Felicito,Shakira
colombian pop,spotify:track:5Zf8ytWP3Q6LWoTPl4SGHO,De Tanto Chimbiar,Feid
colombian pop,spotify:track:6JUMswocQ7Hp46kj9kyljT,XQ Te Pones Así,Feid
colombian pop,spotify:track:4khWEpnaijN0G1x019Uzdr,No Se Va,Morat
